TIM_DAY,CONVERTED_CRD_CONS_PERS_LOAN,CONS_CRD_ORIG_FLAG,CRD_PROP_TNA_MAX,CONS_CRD_QTY_EVER,CONS_CRD_QTY_L30D,CONS_CRD_QTY_L90D,CONS_CRD_QTY_L180D,CONS_CRD_FIRST_ORIG_DATE,CONS_CRD_FIRST_AMT_USD,CONS_CRD_LAST_ORIG_DATE,CONS_CRD_LAST_AMT_USD,CONS_CRD_LAST_REMAINING_CAPITAL_USD,CONS_CRD_ACTIVE_FLAG,CRD_RISK_ANALYSIS_RATING_ID,CRD_RISK_ANALYSIS_SCORE,TOTAL_AMOUNT_ACCOUNT_MP,SCORE_BUREAU_1,RENDA_BUREAU,CONS_PROP_AVAILABLE_AMOUNT_USD,CONS_CRD_ON_QTY_EVER,SCORE_BUREAU_BOAVISTA,CUS_ACT_CRED_CARD_QTY,CUS_ACT_CRED_CARD_PREMIUM_QTY,CUS_ACT_CRED_CARD_GOLD_QTY,CUS_ACT_CRED_CARD_CLASSIC_QTY,CUS_BUYER_TGMV_USD_EVER,CUS_BUYER_TGMV_USD_L30D,CUS_BUYER_TGMV_USD_L60D,CUS_BUYER_TGMV_USD_L90D,CUS_BUYER_TGMV_QTY_ORDERS_EVER,CUS_BUYER_TGMV_QTY_ORDERS_L30D,CUS_BUYER_TGMV_QTY_ORDERS_L60D,CUS_BUYER_TGMV_QTY_ORDERS_L90D,CUS_BUYER_TGMV_QTY_ITEMS_EVER,CUS_BUYER_TGMV_QTY_ITEMS_L30D,CUS_BUYER_TGMV_QTY_ITEMS_L60D,CUS_BUYER_TGMV_QTY_ITEMS_L90D
25/03/2024,FALSE,TRUE,69,62,0,2,4,2/12/2020,6.76,16/01/2024,20.71,10.95,TRUE,A,500,0,753,1950,103.79,1,525,8,0,2,4,2621.32,0,66.76,104.83,112,0,3,5,123,0,3,5
25/03/2024,FALSE,TRUE,54,60,1,8,18,15/09/2020,12.49,03/03/2024,426.35,426.35,TRUE,A,500,0,717,7200,162.33,3,617,7,0,2,4,7373.69,29.36,422.03,491.54,330,3,10,12,484,4,12,16
25/03/2024,TRUE,TRUE,96,59,2,5,13,29/08/2019,29.05,11/03/2024,148.66,148.66,TRUE,C,540,403.98,593,1750,78.68,32,540,8,0,1,4,2112.54,0,40.53,40.53,82,0,1,1,86,0,1,1
25/03/2024,TRUE,TRUE,81,58,5,14,32,04/05/2021,8.55,24/03/2024,26.09,26.09,TRUE,B,604,343.19,584,1700,0.15,30,604,9,0,2,4,5481.29,196.64,357.24,763.27,449,23,37,55,499,23,44,62
25/03/2024,FALSE,TRUE,84,57,1,9,20,1/10/2019,14.43,14/03/2024,283.77,283.77,TRUE,A,500,2000.71,753,3150,218.45,2,505,11,2,2,4,12741.63,0,133.87,783.19,139,0,3,8,167,0,3,9
25/03/2024,TRUE,TRUE,93,55,0,2,8,23/04/2021,13.04,01/02/2024,19.32,9.97,TRUE,C,516,113.13,578,3000,30.26,30,561,8,0,3,4,5257.53,57.17,57.17,109.71,225,3,3,6,241,3,3,7
25/03/2024,FALSE,TRUE,54,54,0,1,1,29/08/2020,3.78,30/01/2024,207.47,194.06,TRUE,A,500,0,905,11650,77.14,8,630,11,0,1,4,6148.16,69.58,279.33,324.6,187,8,18,19,298,11,25,26
25/03/2024,TRUE,TRUE,66,54,2,5,8,24/07/2021,38.36,24/03/2024,20.31,20.31,TRUE,D,514,474.75,842,2900,336.28,51,512,17,3,4,4,2925.23,35.11,62.09,82.14,111,2,4,6,126,2,4,6
25/03/2024,FALSE,TRUE,69,54,0,2,6,03/02/2021,13.39,15/02/2024,54.64,,FALSE,A,500,230.74,739,3150,54.11,20,523,8,0,2,4,4700.41,48.75,234.89,539.96,252,7,19,39,265,7,19,40
25/03/2024,FALSE,TRUE,93,53,2,7,10,08/06/2021,60.78,24/03/2024,107.66,107.66,TRUE,A,500,0,679,6900,144.01,24,636,10,0,3,4,7246.47,178.87,264.77,342.4,178,4,7,9,191,4,7,9
25/03/2024,FALSE,TRUE,96,53,1,2,6,10/03/2019,190.41,24/03/2024,24.21,24.21,TRUE,A,500,7.48,796,2750,150.1,29,602,7,0,1,4,3959.15,0,0,0,110,0,0,0,118,0,0,0
25/03/2024,FALSE,TRUE,84,52,22,40,41,29/01/2021,61.21,24/03/2024,20.18,20.18,TRUE,A,500,3.23,668,2850,20.04,3,422,8,0,1,4,2900.97,11.11,53.32,53.32,61,1,2,2,74,1,4,4
25/03/2024,FALSE,TRUE,69,52,3,9,29,27/09/2022,113.96,10/03/2024,0.81,0.81,TRUE,A,608,13.63,930,1500,16.83,0,646,11,3,4,4,2843.56,0,42.66,76.35,131,0,1,2,161,0,1,2
25/03/2024,FALSE,TRUE,84,52,4,8,32,12/05/2021,55.95,18/03/2024,01.01,01.01,TRUE,A,500,0,477,1000,268.1,2,515,9,0,4,4,5093.2,0,0,35.61,72,0,0,4,90,0,0,6
25/03/2024,FALSE,TRUE,69,51,1,5,9,25/01/2021,8.72,13/03/2024,101.33,101.33,TRUE,A,500,12.07,902,1650,50.93,11,645,5,0,1,4,2704.64,49.19,217.02,337.71,220,6,21,28,239,6,21,30
25/03/2024,FALSE,TRUE,93,51,0,1,4,23/09/2020,36.44,07/02/2024,93.25,81.92,TRUE,A,500,0,735,3250,31.82,20,560,9,0,1,4,2232.97,7.32,7.32,39.47,88,1,1,2,96,1,1,2
25/03/2024,FALSE,TRUE,93,50,0,7,11,12/01/2020,17.32,07/02/2024,192.26,180.19,TRUE,A,500,0.04,410,43600,224.5,4,443,13,1,1,4,7070.33,445.15,1084.63,1355.92,196,19,23,34,262,25,29,41
25/03/2024,FALSE,TRUE,96,49,2,3,4,07/07/2020,8.83,24/03/2024,20.18,20.18,TRUE,A,500,59.82,663,3200,628.54,21,517,8,0,1,4,2884.23,261.1,347.62,390.2,77,1,3,5,161,1,3,5
25/03/2024,FALSE,TRUE,54,48,6,15,28,21/10/2020,11.59,24/03/2024,10.09,10.09,TRUE,A,500,0.75,580,3550,1485.11,7,515,5,0,0,4,3053.03,135.75,193.42,243.83,174,4,8,10,192,5,13,15
25/03/2024,FALSE,TRUE,84,46,2,6,8,20/02/2020,46.5,24/03/2024,101,101,TRUE,A,500,300.92,577,3050,439.05,11,525,9,0,2,4,2295.14,30.66,36.66,124.55,43,3,4,5,51,3,4,5
25/03/2024,FALSE,TRUE,69,46,2,2,2,24/07/2020,6.37,12/03/2024,1.82,1.82,TRUE,A,500,0,700,1300,699.64,14,402,7,1,1,4,5500.88,0,0,109.29,270,0,0,5,312,0,0,5
25/03/2024,FALSE,TRUE,69,45,1,1,7,26/10/2021,3.6,18/03/2024,06.04,06.04,TRUE,A,500,6.53,631,1450,34.07,0,652,5,0,0,4,4679.24,0,0,0,55,0,0,0,69,0,0,0
25/03/2024,FALSE,TRUE,54,44,2,6,7,23/03/2019,31.13,22/03/2024,101.2,101.2,TRUE,A,500,26.6,832,6750,320.66,16,626,11,0,4,4,5156.71,215.81,358.91,520.71,156,6,16,23,164,6,17,24
25/03/2024,FALSE,TRUE,84,44,1,4,8,8/12/2020,29.3,07/03/2024,9.17,9.17,TRUE,A,500,01.09,475,2250,22.25,16,462,11,1,2,4,2946.91,123.03,187.83,277.36,122,4,8,12,167,6,10,14
25/03/2024,FALSE,TRUE,93,41,1,3,8,24/09/2020,18.08,11/03/2024,12.12,12.12,TRUE,A,500,0,484,10550,14.86,14,554,8,1,3,4,3572.86,58.33,1286.67,1293.9,92,3,15,16,96,3,15,16
25/03/2024,TRUE,TRUE,96,41,3,5,12,13/04/2021,20.48,18/03/2024,60.41,60.41,TRUE,E,539,0.02,473,3400,20.04,8,539,10,0,4,4,7791.89,338.39,356.48,356.48,146,6,9,9,184,7,10,10
25/03/2024,TRUE,TRUE,96,41,0,4,11,20/10/2021,51.69,14/02/2024,151.17,139.44,TRUE,E,543,252.41,689,2700,86.14,38,543,9,0,2,4,6441.18,187.92,264.66,307.34,240,2,8,14,273,2,8,14
25/03/2024,TRUE,TRUE,66,40,5,6,7,22/06/2020,32.84,24/03/2024,10.09,10.09,TRUE,E,529,440.75,746,2250,41.53,7,529,13,2,2,4,3009.06,34.08,118.67,219.66,106,1,4,9,122,1,4,11
25/03/2024,FALSE,TRUE,84,39,4,12,26,14/03/2022,14.4,21/03/2024,60.55,60.55,TRUE,A,500,0.72,570,4150,322.46,2,529,7,1,1,4,4410.04,0,54.26,54.26,89,0,1,1,93,0,1,1
25/03/2024,FALSE,TRUE,96,37,0,0,2,16/10/2020,9.13,26/11/2023,10.27,,FALSE,A,500,1.31,579,3700,637.29,11,512,11,1,2,4,3729.13,16.24,38.24,180.2,135,2,4,11,215,2,4,11
25/03/2024,TRUE,TRUE,54,36,2,4,5,30/08/2019,61.23,24/03/2024,16.17,16.17,TRUE,A,500,0,829,7150,0.02,16,468,9,1,2,4,4353.72,0,50.64,50.64,122,0,1,1,152,0,1,1
25/03/2024,TRUE,TRUE,84,36,3,6,8,12/08/2020,16.56,13/03/2024,8.1,8.1,TRUE,A,500,0.81,552,3550,45.59,28,509,10,0,3,4,3441.39,38.5,38.5,93.21,147,6,6,10,182,6,6,10
25/03/2024,TRUE,TRUE,84,35,1,4,7,08/09/2021,49.08,15/03/2024,79.26,79.26,TRUE,E,459,24.69,508,3000,16.93,19,508,7,0,1,4,3920.9,0,12.18,431.16,82,0,1,3,91,0,1,3
25/03/2024,TRUE,TRUE,54,35,0,1,9,24/09/2020,12.51,27/01/2024,410.83,211.18,TRUE,E,591,0.66,683,9000,264.94,19,630,10,2,2,4,3850.86,0,0,0,59,0,0,0,64,0,0,0
25/03/2024,TRUE,TRUE,54,35,4,11,12,29/03/2021,16.22,24/03/2024,30.23,30.23,TRUE,E,556,173.15,757,26100,537.76,10,556,8,2,0,4,37559.01,761.44,848.02,2782.52,441,8,12,19,682,15,21,28
25/03/2024,TRUE,TRUE,69,34,1,5,7,21/05/2021,06.06,09/03/2024,03.04,03.04,TRUE,A,623,711.46,709,3050,121.01,7,637,7,2,0,4,2033.73,0,155.89,219.91,37,0,3,6,42,0,3,6
25/03/2024,TRUE,TRUE,66,33,3,9,14,23/02/2022,23.73,18/03/2024,40.4,30.43,TRUE,A,500,0,916,3100,46.23,29,607,5,1,0,4,10025.84,150.68,195.16,253.27,295,8,12,15,416,8,12,16
25/03/2024,TRUE,TRUE,84,33,9,13,21,17/05/2023,57.45,21/03/2024,15.47,15.47,TRUE,A,500,0,550,4050,5.92,16,557,11,1,3,4,3754.43,323.31,338.82,394.4,170,8,10,13,187,8,10,13
25/03/2024,TRUE,TRUE,96,31,2,7,11,18/03/2021,22.47,24/03/2024,04.04,04.04,TRUE,A,500,0.27,619,2500,14.67,7,565,8,1,3,4,3001.11,82.77,311.99,689.22,103,6,10,16,106,7,11,17
25/03/2024,TRUE,TRUE,66,31,1,2,4,05/01/2021,20.53,25/02/2024,10.09,10.09,TRUE,A,500,0.02,877,3600,645.33,0,647,7,1,1,4,2433.78,0,196.57,337.85,33,0,1,2,35,0,1,2
25/03/2024,TRUE,TRUE,96,30,2,9,16,20/10/2020,7.64,17/03/2024,438.47,438.47,TRUE,A,500,45.14,716,3800,434.72,5,539,7,0,1,4,2677.04,73.67,115.96,115.96,80,3,5,5,103,3,5,5
25/03/2024,TRUE,TRUE,66,29,0,0,0,25/10/2019,30.01,15/08/2023,11.72,,FALSE,A,500,1501.47,713,4700,60.12,18,515,8,1,2,4,6520.33,359.66,359.66,371.15,257,8,8,10,265,8,8,10
25/03/2024,TRUE,TRUE,81,28,3,4,6,06/06/2021,46.76,17/03/2024,30.33,30.33,TRUE,A,516,9104.81,479,10050,121.92,15,516,10,1,4,4,7235.02,0,0,0,359,0,0,0,413,0,0,0
25/03/2024,TRUE,TRUE,69,27,0,4,5,13/12/2020,31.79,21/02/2024,73.72,61.66,TRUE,A,500,23.72,862,1800,86.27,17,634,7,2,1,4,2715.25,0,27.36,27.36,82,0,1,1,102,0,2,2
25/03/2024,TRUE,TRUE,66,26,0,3,9,18/12/2020,13.26,19/02/2024,168.35,,FALSE,A,500,0,512,2650,128.67,5,529,11,1,3,4,6424.64,634.17,804.29,1354.6,612,31,55,131,707,32,56,145
25/03/2024,TRUE,TRUE,93,25,3,5,8,16/03/2021,3.27,19/03/2024,17.22,17.22,TRUE,A,500,106.29,552,5300,14.76,18,526,7,0,1,4,3420.63,159.83,186.15,436.69,113,9,12,15,120,9,12,15
25/03/2024,TRUE,TRUE,66,80,45,49,58,30/10/2021,107.75,20/03/2024,10,05.05,TRUE,A,500,223.96,687,3300,123.06,5,615,5,0,2,3,2109.26,37.95,53.88,121.84,82,1,3,4,113,3,5,6
25/03/2024,TRUE,TRUE,28.8,79,3,5,12,02/05/2021,2.8,11/03/2024,40.45,40.45,TRUE,B,559,359.3,726,2100,455.48,7,533,6,0,2,3,2139.11,62.03,169.24,169.24,74,3,6,6,77,3,7,7
25/03/2024,TRUE,TRUE,69,79,1,22,31,07/03/2021,4.56,23/03/2024,28.25,28.25,TRUE,A,500,07.07,800,1600,310.31,5,532,4,0,0,3,2223.69,0,0,140.1,47,0,0,8,51,0,0,8
25/03/2024,TRUE,TRUE,84,79,0,1,3,23/11/2020,9.29,28/12/2023,187.44,134.63,TRUE,A,500,0,699,2800,424.59,0,563,8,0,3,3,3409.14,258.06,279.59,279.59,84,6,7,7,85,6,7,7
25/03/2024,TRUE,TRUE,84,77,1,4,6,13/03/2020,38.1,24/02/2024,82.33,71.51,TRUE,D,561,0,494,3950,192.05,34,592,16,2,4,3,8428.12,58.2,110.76,570.99,420,5,8,40,480,6,9,44
25/03/2024,TRUE,TRUE,93,76,1,2,13,22/11/2020,55,24/03/2024,202.01,202.01,TRUE,A,500,40.55,784,3650,12.96,61,540,6,0,0,3,3741.39,88.88,88.88,143.49,204,6,6,11,226,6,6,11
25/03/2024,TRUE,TRUE,84,73,3,9,17,24/11/2020,16.18,20/03/2024,30.08,30.08,TRUE,A,500,135.05,593,4950,389.95,2,576,6,0,1,3,3302.01,83.99,134.95,150.48,212,2,6,7,237,2,7,8
25/03/2024,TRUE,TRUE,66,72,3,15,40,28/10/2021,39.12,21/03/2024,12.07,12.07,TRUE,A,500,2.19,562,3100,160.33,9,512,8,3,0,3,4006.34,107.91,139.84,295.6,140,3,4,6,184,4,5,8
25/03/2024,TRUE,TRUE,54,71,1,4,6,04/09/2019,142.68,18/03/2024,261.41,,FALSE,A,500,361.68,854,6800,1402.89,36,683,9,2,1,3,9579.67,281.6,369.47,563.56,271,3,8,13,305,3,8,16
25/03/2024,TRUE,TRUE,66,71,0,1,6,17/02/2020,99.43,04/02/2024,82,56.08,TRUE,A,500,19.84,914,3800,1028.12,39,606,5,0,1,3,3466.63,0,138.93,138.93,151,0,5,5,187,0,6,6
25/03/2024,TRUE,TRUE,45,70,2,5,13,28/06/2020,91.53,18/03/2024,463.2,463.2,TRUE,A,500,22.44,746,36850,577.02,16,668,6,0,1,3,2405.59,0,06.01,23.39,89,0,1,2,114,0,1,3
25/03/2024,TRUE,TRUE,69,70,0,2,8,21/05/2021,5.73,10/01/2024,141.64,120.82,TRUE,A,500,0,586,1350,89.54,9,510,6,0,2,3,2765.88,0,0,37.92,97,0,0,3,107,0,0,3
25/03/2024,TRUE,TRUE,84,69,1,3,7,27/09/2021,12.75,29/02/2024,28.05,,FALSE,A,500,128,593,2100,76.16,0,613,11,0,3,3,2503.74,293.11,505.11,557.9,52,5,8,13,56,5,8,13
25/03/2024,TRUE,TRUE,84,68,3,13,23,21/09/2020,11.98,14/03/2024,11.76,11.76,TRUE,B,501,8.47,630,3900,433.24,54,507,6,0,0,3,6926.89,121.9,455.92,554.42,1142,19,66,84,1253,19,68,89
25/03/2024,TRUE,TRUE,96,68,2,7,8,13/04/2019,95.36,24/03/2024,21.16,21.16,TRUE,A,500,388.07,749,1700,0.08,60,556,3,0,0,3,3649.29,0,202.52,407.42,202,0,12,30,236,0,12,31
25/03/2024,TRUE,TRUE,66,68,8,13,19,6/12/2019,18.63,24/03/2024,04.03,04.03,TRUE,A,500,0,666,3850,340.45,18,606,6,0,1,3,2523.42,0,46.54,95.74,148,0,4,9,158,0,4,9
25/03/2024,TRUE,TRUE,93,68,2,5,11,14/11/2020,42.95,28/02/2024,152.42,152.42,TRUE,E,662,3.72,758,3350,73.24,16,662,10,2,4,3,12974.03,261.31,528.75,716.22,366,6,18,25,419,6,18,25
25/03/2024,TRUE,TRUE,69,66,5,7,8,22/09/2019,36.18,23/03/2024,30.21,30.21,TRUE,A,500,5.9,643,2550,38.08,38,600,11,2,4,3,2593.44,0,76.19,76.19,75,0,3,3,80,0,3,3
25/03/2024,TRUE,TRUE,96,63,2,9,18,07/01/2021,7.56,14/03/2024,06.07,06.07,TRUE,A,500,0.8,359,800,38.61,42,522,6,0,0,3,2997.02,0,4.5,4.5,149,0,1,1,170,0,1,1
25/03/2024,TRUE,TRUE,66,63,1,7,8,13/03/2021,20.44,21/03/2024,1.81,1.81,TRUE,B,608,176.28,833,1950,438.41,6,608,10,3,0,3,2950.79,28.54,28.54,28.54,59,2,2,2,64,2,2,2
25/03/2024,TRUE,TRUE,54,62,2,9,16,14/05/2021,10.92,24/03/2024,40.33,40.33,TRUE,A,500,0.1,872,5400,145.5,1,595,6,1,1,3,5757.25,569.71,577.94,844.62,181,4,5,11,206,4,5,13
25/03/2024,TRUE,TRUE,54,62,2,2,5,31/07/2020,21.78,19/03/2024,30.08,30.08,TRUE,A,500,0,749,5500,553.14,8,573,5,0,0,3,4288.04,0,30.34,40.48,117,0,2,3,134,0,2,3
25/03/2024,TRUE,TRUE,93,62,6,22,44,23/03/2022,52.45,21/03/2024,12.27,12.27,TRUE,A,500,38.88,831,32700,121.71,16,541,5,0,1,3,2010.34,274.04,286.05,333.09,39,9,10,13,44,10,11,14
25/03/2024,TRUE,TRUE,96,61,2,10,23,16/11/2022,19.32,19/03/2024,141.44,141.44,TRUE,E,97,114.56,638,3100,22.05,8,595,4,1,0,3,5122.13,0,95.45,95.45,275,0,10,10,302,0,10,10
25/03/2024,TRUE,TRUE,54,61,2,9,13,12/07/2020,21.6,25/02/2024,18.29,15.64,TRUE,A,500,0,828,7150,85.22,34,609,12,1,2,3,3344.11,53.36,85.54,253.65,156,2,3,6,173,2,3,11
25/03/2024,TRUE,TRUE,81,61,0,3,7,07/03/2019,64.85,01/02/2024,44.93,,FALSE,A,500,0.95,524,20750,1046.16,23,719,8,1,2,3,29664.28,1253.33,2226.56,3248.54,623,61,116,174,1193,122,280,403
25/03/2024,FALSE,TRUE,66,60,13,22,28,16/10/2020,6.23,24/03/2024,11.1,11.1,TRUE,B,527,1070.5,918,2800,542.98,0,527,13,4,3,3,4078.88,0,229.31,389.45,73,0,2,3,80,0,2,3
25/03/2024,TRUE,TRUE,96,59,3,12,21,10/10/2020,13.19,21/03/2024,11.06,11.06,TRUE,E,116,0,767,6500,1322.57,14,787,11,4,1,3,3757.33,0,13.03,13.03,162,0,2,2,190,0,2,2
25/03/2024,TRUE,TRUE,96,59,10,19,26,23/04/2021,23.92,24/03/2024,24.22,24.22,TRUE,A,500,0,889,2350,202.35,1,592,4,0,0,3,2032.11,0,0,0,45,0,0,0,52,0,0,0
25/03/2024,TRUE,TRUE,93,59,2,4,7,13/10/2020,29.17,24/03/2024,62.94,62.94,TRUE,D,693,0,710,4250,0.01,33,688,5,0,2,3,6200.35,121.75,228.36,705.06,244,5,7,25,271,6,8,30
25/03/2024,TRUE,TRUE,69,57,3,9,17,16/06/2021,54.11,24/03/2024,04.04,04.04,TRUE,E,543,02.09,865,1500,255.74,40,543,10,0,3,3,2158.32,82.62,271.35,335.79,91,7,15,18,97,7,16,19
25/03/2024,FALSE,TRUE,93,57,1,1,5,19/08/2021,23.2,24/03/2024,203.94,203.94,TRUE,B,453,127.09,609,1100,440.91,45,513,10,0,3,3,6661.1,482.5,609.52,683.59,327,21,26,29,410,33,38,41
25/03/2024,FALSE,TRUE,66,57,1,1,2,23/06/2020,17,24/02/2024,201.78,99.77,TRUE,B,597,946.42,770,3300,221.56,7,597,7,1,1,3,3194.13,101.8,115.7,314.25,113,3,4,12,117,4,5,13
25/03/2024,TRUE,TRUE,96,54,3,5,13,24/11/2020,4.97,16/03/2024,70.83,70.83,TRUE,A,500,494.66,645,3050,58.32,23,501,3,0,0,3,5715.57,0,0,0,149,0,0,0,161,0,0,0
25/03/2024,TRUE,TRUE,84,54,5,8,15,28/06/2021,122.7,01/03/2024,06.06,06.06,TRUE,E,554,0.09,593,3550,758.02,2,514,7,0,2,3,10405.65,258.02,454.73,861.43,192,7,9,14,291,8,10,16
25/03/2024,TRUE,TRUE,66,54,0,6,23,09/03/2023,77.89,12/02/2024,32.51,24.96,TRUE,E,93,47.46,684,3750,59.08,0,502,7,1,2,3,8457.87,293.2,309.92,317.27,323,8,11,12,374,8,11,12
25/03/2024,TRUE,TRUE,45,53,0,1,4,10/07/2020,27.76,29/12/2023,114.13,,FALSE,A,500,0.82,916,11500,53.51,0,642,8,1,2,3,13641.17,195.1,461,832.94,449,12,23,32,581,22,33,43
25/03/2024,TRUE,TRUE,45,52,1,9,18,24/04/2021,16.01,25/02/2024,1747.46,,FALSE,A,500,800.03,902,59850,1751.61,27,657,13,1,3,3,4249.38,72.4,115.1,278.91,283,4,9,15,307,4,9,15
25/03/2024,TRUE,TRUE,84,52,4,9,20,13/12/2021,73.06,06/03/2024,39.04,39.04,TRUE,A,500,5.21,593,3900,6.33,49,504,5,0,1,3,5094.3,446.7,726.38,858.81,144,8,19,22,224,14,25,29
25/03/2024,TRUE,TRUE,66,52,4,6,14,01/04/2022,93.66,24/03/2024,60.51,60.51,TRUE,A,500,0.01,637,6100,5.14,9,635,12,2,3,3,7510.39,134.07,141.17,203.47,309,7,8,12,612,7,8,12
25/03/2024,FALSE,TRUE,28.8,52,0,2,8,28/09/2021,113.03,22/02/2024,804.76,606.18,TRUE,B,500,2589.15,545,7150,352.56,7,507,9,3,0,3,2070.83,22.71,22.71,22.71,81,1,1,1,102,1,1,1
25/03/2024,TRUE,TRUE,66,51,4,9,14,27/01/2021,43.07,24/03/2024,36.31,36.31,TRUE,A,500,0.32,671,4200,320.45,23,551,9,2,1,3,11382.82,98.91,155.32,749.26,188,2,3,9,227,2,3,9
25/03/2024,FALSE,TRUE,81,51,0,3,3,25/01/2021,54.38,14/02/2024,904.72,,FALSE,B,705,4796.13,593,33300,895.85,22,705,8,0,2,3,7834.66,454.88,635.46,1448.76,119,8,15,18,151,9,17,24
25/03/2024,TRUE,TRUE,69,51,3,3,9,07/05/2021,17.12,24/03/2024,405.09,405.09,TRUE,A,500,5.53,469,2000,52.07,30,621,8,0,2,3,3220.2,204.97,684.04,733.91,153,6,8,13,161,6,8,13
25/03/2024,TRUE,TRUE,69,50,1,4,6,06/04/2021,9.86,22/03/2024,101.07,101.07,TRUE,A,500,0,913,2000,1450.99,0,713,6,0,3,3,2232.88,24.03,24.03,40.33,58,1,1,2,62,1,1,2
25/03/2024,TRUE,TRUE,54,49,13,37,49,28/10/2023,101.72,24/03/2024,08.06,08.06,TRUE,A,500,0,878,9800,2,0,537,6,0,1,3,5256.9,112.21,112.21,112.21,104,4,4,4,127,9,9,9
25/03/2024,TRUE,TRUE,96,48,1,3,6,29/04/2021,25.92,23/02/2024,264.79,264.79,TRUE,A,500,224.84,588,1950,2,8,519,6,0,2,3,2502.12,0,0,0,61,0,0,0,63,0,0,0
